Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada,season_weight,Home Win Ratio,Home Tie Ratio,Home Loss Ratio,Away Win Ratio,Away Tie Ratio,Away Loss Ratio
12,Bournemouth,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,3.099999999999998,+0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.299999999999997,-0.28,Premier leaqgue,2023/2024,1.5,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.15789473684210525,0.5263157894736842
13,Fulham,19,9,2,8,31,24,7,29,1.53,27.9,27.8,0.09999999999999787,0.00,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.200000000000003,-0.64,Premier leaqgue,2023/2024,1.5,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.21052631578947367,0.3157894736842105,0.47368421052631576
14,Wolves,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.300000000000001,-0.38,19,5,4,10,24,35,-11,19,1.00,23.5,37.2,-13.700000000000003,-0.72,Premier leaqgue,2023/2024,1.5,0.42105263157894735,0.15789473684210525,0.42105263157894735,0.2631578947368421,0.21052631578947367,0.5263157894736842
15,Everton,19,8,4,7,22,18,4,28,1.47,32.1,22.5,9.600000000000001,+0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.800000000000004,-0.57,Premier leaqgue,2023/2024,1.5,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.2631578947368421,0.2631578947368421,0.47368421052631576
16,Brentford,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,1.1000000000000014,+0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,1.0999999999999979,+0.06,Premier leaqgue,2023/2024,1.5,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.631578947368421
17,Nott'ham Forest,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,3.1999999999999993,+0.17,19,4,4,11,22,37,-15,16,0.84,25.0,31.4,-6.399999999999999,-0.34,Premier leaqgue,2023/2024,1.5,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.21052631578947367,0.21052631578947367,0.5789473684210527
18,Luton Town,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.300000000000001,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.299999999999997,-1.59,Premier leaqgue,2023/2024,1.5,0.21052631578947367,0.21052631578947367,0.5789473684210527,0.10526315789473684,0.21052631578947367,0.6842105263157895
19,Burnley,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.299999999999997,-1.22,Premier leaqgue,2023/2024,1.5,0.10526315789473684,0.21052631578947367,0.6842105263157895,0.15789473684210525,0.2631578947368421,0.5789473684210527
20,Sheffield Utd,19,2,4,13,19,57,-38,10,0.53,24.2,37.8,-13.599999999999998,-0.72,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.799999999999997,-1.30,Premier leaqgue,2023/2024,1.5,0.10526315789473684,0.21052631578947367,0.6842105263157895,0.05263157894736842,0.15789473684210525,0.7894736842105263
1,Manchester City,19,17,1,1,60,17,43,52,2.74,42.7,12.8,29.900000000000002,+1.57,19,11,4,4,34,16,18,37,1.95,35.9,19.3,16.599999999999998,+0.87,Premier leaqgue,2022/2023,1.0,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.5789473684210527,0.21052631578947367,0.21052631578947367
