Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada
12,Chelsea,19,6,7,6,20,19,+1,25,1.32,27.3,23.7,+3.7,+0.19,19,5,4,10,18,28,-10,19,1.00,22.1,28.8,-6.7,-0.35,Premier leaqgue,2022/2023
13,Wolves,19,9,3,7,19,20,-1,30,1.58,21.1,26.5,-5.4,-0.29,19,2,5,12,12,38,-26,11,0.58,15.7,33.3,-17.6,-0.93,Premier leaqgue,2022/2023
14,West Ham,19,8,4,7,26,24,+2,28,1.47,27.3,24.5,+2.8,+0.15,19,3,3,13,16,31,-15,12,0.63,21.8,28.5,-6.7,-0.35,Premier leaqgue,2022/2023
15,Bournemouth,19,6,4,9,20,28,-8,22,1.16,22.1,28.4,-6.3,-0.33,19,5,2,12,17,43,-26,17,0.89,16.3,35.3,-19.0,-1.00,Premier leaqgue,2022/2023
16,Nott'ham Forest,19,8,6,5,27,24,+3,30,1.58,23.3,30.5,-7.2,-0.38,19,1,5,13,11,44,-33,8,0.42,16.0,33.7,-17.7,-0.93,Premier leaqgue,2022/2023
17,Everton,19,6,3,10,16,27,-11,21,1.11,23.4,26.7,-3.3,-0.17,19,2,9,8,18,30,-12,15,0.79,21.7,38.8,-17.1,-0.90,Premier leaqgue,2022/2023
18,Leicester City,19,5,4,10,23,27,-4,19,1.00,21.3,26.3,-5.0,-0.26,19,4,3,12,28,41,-13,15,0.79,29.2,36.9,-7.8,-0.41,Premier leaqgue,2022/2023
19,Leeds United,19,5,7,7,26,37,-11,22,1.16,25.2,32.7,-7.5,-0.40,19,2,3,14,22,41,-19,9,0.47,22.1,34.4,-12.2,-0.64,Premier leaqgue,2022/2023
20,Southampton,19,2,5,12,19,37,-18,11,0.58,20.5,29.8,-9.3,-0.49,19,4,2,13,17,36,-19,14,0.74,17.3,31.1,-13.8,-0.73,Premier leaqgue,2022/2023
1,Manchester City,19,15,2,2,58,15,+43,47,2.47,45.6,11.4,+34.2,+1.80,19,14,4,1,41,11,+30,46,2.42,43.1,13.2,+29.8,+1.57,Premier leaqgue,2021/2022
2,Liverpool,19,15,4,0,49,9,+40,49,2.58,48.9,12.8,+36.1,+1.90,19,13,4,2,45,17,+28,43,2.26,39.8,20.9,+18.8,+0.99,Premier leaqgue,2021/2022
3,Chelsea,19,9,7,3,37,22,+15,34,1.79,33.2,18.2,+15.1,+0.79,19,12,4,3,39,11,+28,40,2.11,30.1,15.1,+15.0,+0.79,Premier leaqgue,2021/2022
4,Tottenham,19,13,1,5,38,19,+19,40,2.11,33.6,18.7,+14.8,+0.78,19,9,4,6,31,21,+10,31,1.63,27.7,20.6,+7.1,+0.37,Premier leaqgue,2021/2022
5,Arsenal,19,13,2,4,35,17,+18,41,2.16,37.4,17.7,+19.7,+1.03,19,9,1,9,26,31,-5,28,1.47,23.2,27.9,-4.8,-0.25,Premier leaqgue,2021/2022
6,Manchester Utd,19,10,5,4,32,22,+10,35,1.84,30.6,20.8,+9.9,+0.52,19,6,5,8,25,35,-10,23,1.21,25.1,32.2,-7.1,-0.37,Premier leaqgue,2021/2022
7,West Ham,19,9,5,5,33,26,+7,32,1.68,28.0,21.6,+6.4,+0.34,19,7,3,9,27,25,+2,24,1.26,23.4,31.9,-8.5,-0.45,Premier leaqgue,2021/2022
8,Leicester City,19,10,4,5,34,23,+11,34,1.79,26.1,28.4,-2.3,-0.12,19,4,6,9,28,36,-8,18,0.95,21.7,30.8,-9.2,-0.48,Premier leaqgue,2021/2022
9,Brighton,19,5,7,7,19,23,-4,22,1.16,25.2,19.8,+5.4,+0.29,19,7,8,4,23,21,+2,29,1.53,20.9,23.1,-2.1,-0.11,Premier leaqgue,2021/2022
10,Wolves,19,7,3,9,20,25,-5,24,1.26,19.2,28.9,-9.7,-0.51,19,8,3,8,18,18,0,27,1.42,18.3,28.0,-9.8,-0.51,Premier leaqgue,2021/2022
11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,21.2,27.4,-6.2,-0.32,19,5,4,10,18,35,-17,19,1.00,16.9,29.8,-12.8,-0.68,Premier leaqgue,2021/2022
12,Crystal Palace,19,7,8,4,27,17,+10,29,1.53,28.2,17.0,+11.2,+0.59,19,4,7,8,23,29,-6,19,1.00,18.2,23.7,-5.5,-0.29,Premier leaqgue,2021/2022
13,Brentford,19,7,3,9,22,21,+1,24,1.26,25.4,20.5,+4.9,+0.26,19,6,4,9,26,35,-9,22,1.16,20.4,28.0,-7.6,-0.40,Premier leaqgue,2021/2022
14,Aston Villa,19,6,5,8,29,29,0,23,1.21,23.6,24.5,-1.0,-0.05,19,7,1,11,23,25,-2,22,1.16,20.4,24.4,-4.0,-0.21,Premier leaqgue,2021/2022
15,Southampton,19,6,7,6,23,24,-1,25,1.32,21.8,24.3,-2.5,-0.13,19,3,6,10,20,43,-23,15,0.79,23.0,35.7,-12.7,-0.67,Premier leaqgue,2021/2022
16,Everton,19,9,2,8,27,25,+2,29,1.53,23.6,22.6,+1.0,+0.05,19,2,4,13,16,41,-25,10,0.53,17.6,32.8,-15.2,-0.80,Premier leaqgue,2021/2022
17,Leeds United,19,4,6,9,19,38,-19,18,0.95,25.2,31.6,-6.4,-0.34,19,5,5,9,23,41,-18,20,1.05,19.1,36.2,-17.1,-0.90,Premier leaqgue,2021/2022
